name,slot_type,family,is_named,is_exotic,base_damage,rpm,base_mag_size,reload_time,optimal_range,hsd,sight,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
SOCOM Mk20 SSR,main,SCAR,FALSE,FALSE,,,,,,0,type:sight-optics,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
The Darkness,main,SCAR,TRUE,FALSE,,,,,,0,type:sight-optics,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Eyeless,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
G28,main,G28,FALSE,FALSE,,,,,,0,type:sight-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Relic,main,G28,TRUE,FALSE,,,,,,0,type:sight-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Determined,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Sacrum Imperium,main,G28,FALSE,TRUE,,,,,,0,fixed:Doctor's Sight,fixed:Home's Magazine,fixed:Doctor's Perseverance,fixed:Doctor's Grip,fixed:The Trap,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
M700 Carbon,main,M700,FALSE,FALSE,,,,,,0,type:sight-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
M700 Tactical,main,M700,FALSE,FALSE,,,,,,0,,,,,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Model 700,main,M700,FALSE,FALSE,,,,,,0,type:sight-long,type:mag-integrated,type:muzzle-7.62,N/A,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Brutus,main,M700,TRUE,FALSE,,,,,,0,type:sight-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Behind You,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Ekim's Long Stick,main,M700,TRUE,FALSE,,,,,,0,type:sight-long,type:mag-integrated,type:muzzle-7.62,N/A,fixed:Perfect Ranger,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Shroud,main,M700,FALSE,TRUE,,,,,,0,fixed:Shroud Scope,fixed:Shroud Magazine,fixed:Shroud Muzzle,fixed:Shroud Underbarrel,fixed:High Priority Target,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Paratrooper SVD,main,SVD,FALSE,FALSE,,,,,,0,,,,,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Surplus SVD,main,SVD,FALSE,FALSE,,,,,,0,,,,,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Commando,main,SVD,TRUE,FALSE,,,,,,0,type:sight-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,fixed:Perfect Naked,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Handbasket,main,SVD,TRUE,FALSE,,,,,,0,type:sight-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Dread Edict,main,SVD,FALSE,TRUE,,,,,,0,fixed:Judgement's Glare,fixed:Tuned-tension Spring,fixed:Punctuating Barrel,fixed:Fearless Frame,fixed:Full Stop,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Covert SRS,main,SRS,FALSE,FALSE,,,,,,0,,,,,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
