brand_set,gear_set,name,is_named,is_exotic,core_1,core_2,core_3,minor_1,minor_2,minor_3,talent_slot,mod_1,mod_2,mod_3
5.11 Tactical,N/A,5.11 Tactical Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Badger Tuff,N/A,Badger Tuff Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Belstone Armory,N/A,Belstone Armory Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Brazos de Arcabuz,N/A,Brazos de Arcabuz Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Gila Guard,N/A,Gila Guard Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Golan Gear Ltd,N/A,Golan Gear Ltd Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Habsburg Guard,N/A,Habsburg Guard Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Improvised,N/A,Improvised Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Lengmo,N/A,Lengmo Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Palisade Steelworks,N/A,Palisade Steelworks Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Uzina Getica,N/A,Uzina Getica Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Yaahl Gear,N/A,Yaahl Gear Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Alps Summit Armaments,N/A,Alps Summit Armaments Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
China Light Industries,N/A,China Light Industries Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Electrique,N/A,Electrique Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Empress International,N/A,Empress International Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Hana-U Corporation,N/A,Hana-U Corporation Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Murakami Industries,N/A,Murakami Industries Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Richter & Kaiser GmbH,N/A,Richter & Kaiser GmbH Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Royal Works,N/A,Royal Works Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Royal Works,N/A,Bulldog,true,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,fixed:Perfect Composure,type:gear-mod,N/A,N/A
Shiny Monkey,N/A,Shiny Monkey Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Wyvern Wear,N/A,Wyvern Wear Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Airaldi Holdings,N/A,Airaldi Holdings Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Unit Alloys,N/A,Unit Alloys Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Ceska Vyroba s.r.o.,N/A,Ceska Vyroba s.r.o. Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Douglas & Harding,N/A,Douglas & Harding Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Fenris Group AB,N/A,Fenris Group AB Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Grupo Sombra S.A.,N/A,Grupo Sombra S.A. Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Imminence Armaments,N/A,Imminence Armaments Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
Legatus S.p.A,N/A,Legatus S.p.A Backpack,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,type:backpack,type:gear-mod,N/A,N/A
