brand_set,gear_set,name,is_named,is_exotic,core_1,core_2,core_3,minor_1,minor_2,minor_3,talent_slot,mod_1,mod_2,mod_3
5.11 Tactical,N/A,5.11 Tactical Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Badger Tuff,N/A,Badger Tuff Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Belstone Armory,N/A,Belstone Armory Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Brazos de Arcabuz,N/A,Brazos de Arcabuz Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Gila Guard,N/A,Gila Guard Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Golan Gear Ltd,N/A,Golan Gear Ltd Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Habsburg Guard,N/A,Habsburg Guard Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Improvised,N/A,Improvised Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Lengmo,N/A,Lengmo Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Palisade Steelworks,N/A,Palisade Steelworks Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Uzina Getica,N/A,Uzina Getica Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Yaahl Gear,N/A,Yaahl Gear Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Alps Summit Armaments,N/A,Alps Summit Armaments Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
China Light Industries,N/A,China Light Industries Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Electrique,N/A,Electrique Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Empress International,N/A,Empress International Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Hana-U Corporation,N/A,Hana-U Corporation Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Murakami Industries,N/A,Murakami Industries Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Richter & Kaiser GmbH,N/A,Richter & Kaiser GmbH Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Royal Works,N/A,Royal Works Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Shiny Monkey,N/A,Shiny Monkey Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Wyvern Wear,N/A,Wyvern Wear Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
Airaldi Holdings,N/A,Airaldi Holdings Mask,false,false,type:gear-core,N/A,N/A,type:gear-minor,type:gear-minor,N/A,N/A,type:gear-mod,N/A,N/A
